feature1,feature2,correlation,p-value
after,averageBadWordsCount,0.0533813263965,7.95635385035e-06
after,averageBadWordsRatio,2.51307120442e-05,0.998323518905
after,averageCapitalLetterRatio,-0.0264064408846,0.0272298680395
after,averageCapitalWordRatio,-0.00301133368689,0.801214362288
after,averageEmoticonCount,-0.00696177837986,0.560515595
after,averageEmoticonToWordRatio,-0.0351823467383,0.00325595753284
after,averageFirstPronounsCount,0.0998238527011,5.90542044184e-17
after,averageFirstPronounsToWordRatio,0.0388618763381,0.00115227155166
after,averageHatewordsCount,0.0825791409122,4.63947658359e-12
after,averageHatewordsRatio,0.00503274016103,0.673911286843
after,averageInsultsCount,0.0641095012934,8.06516406295e-08
after,averageInsultsRatio,0.0153948168771,0.198015961813
after,averageLikeCount,-0.0202736053313,0.0900309741173
after,averageNegativeCoefficient,-0.00127282844207,0.915248947943
after,averageNeutralCoefficient,-0.0772503877908,9.89731309887e-11
after,averagePositiveCoefficient,0.00127282844207,0.915248947943
after,averageProfanityWindow2,0.0540006565785,6.23531400896e-06
after,averageProfanityWindow3,0.0208558285536,0.0811714683771
after,averageProfanityWindow4,0.0275143528251,0.0213979131441
after,averageProfanityWindow5,0.00438066545028,0.714166795042
after,averagePunctuationRatio,0.00934338427453,0.434678975866
after,averageSecondPronounsCount,0.119204135675,1.48981457342e-23
after,averageSecondPronounsToWordRatio,0.0993920186101,8.03505779233e-17
after,averageTextDisplayLength,0.0903252359855,3.80493209803e-14
after,averageTextDisplayProcessedLength,0.0808211847461,1.30151636894e-11
after,averageTextDisplayProcessedWordsCount,0.0818247255888,7.24215206123e-12
after,averageTextDisplayWordsCount,0.0936480403452,4.2580930253e-15
after,badWordsCount,0.0263145035128,0.0277703149804
after,badWordsRatio,-0.00151803356803,0.899002402533
after,before,-0.365153119565,1.48831719383e-219
after,capitalLetterRatio,-0.0299015608872,0.0123981378036
after,capitalWordRatio,-0.0104539431295,0.382080237625
after,emoticonCount,-0.0250850883987,0.0359339100283
after,emoticonToWordRatio,-0.023629481174,0.0481640516432
after,firstPronounsCount,0.00868037975738,0.467977716397
after,firstPronounsToWordRatio,-0.0452227451508,0.000154966033039
after,hatewordsCount,0.0209679665276,0.0795491771978
after,hatewordsRatio,0.00632648374812,0.596834861832
after,insultsCount,0.0510131844998,1.97276755419e-05
after,insultsRatio,0.0107143927028,0.370334151423
after,isComment,0.365258704482,1.09012773534e-219
after,likeCount,0.139541822753,9.55940015827e-32
after,negativeCoefficient,0.0379561036931,0.00150030908083
after,neutralCoefficient,0.0415507625653,0.00050985008276
after,positiveCoefficient,-0.0379561036931,0.00150030908083
after,profanityWindow2,0.0102415156747,0.39182771871
after,profanityWindow3,0.0111718149105,0.350254494899
after,profanityWindow4,0.0119340374595,0.318361327071
after,profanityWindow5,-0.0158803416576,0.184235415725
after,punctuationRatio,-0.0652663387666,4.68968672788e-08
after,secondPronounsCount,0.0123201041129,0.302956839123
after,secondPronounsToWordRatio,-0.0267174631949,0.0254682859453
after,sentimentLabel,-0.0168991994263,0.157647018166
after,textDisplayLength,0.0388010457001,0.00117307657689
after,textDisplayProcessedLength,0.0337214447234,0.00479899306898
after,textDisplayProcessedWordsCount,0.0351604659883,0.00327526517537
after,textDisplayWordsCount,0.0415286161444,0.000513385783826
after,totalReplyCount,0.361264888007,1.30841871463e-214
after,userAverageBadWordsCount,0.0427103595077,0.000353441513498
after,userAverageBadWordsRatio,0.00225592157048,0.850393744224
after,userAverageCapitalLetterRatio,-0.0369249327774,0.00201293227703
after,userAverageCapitalWordRatio,-0.00791488850788,0.508119955116
after,userAverageEmoticonCount,-0.0154384543314,0.196747408103
after,userAverageEmoticonToWordRatio,-0.0351744565721,0.00326290785623
after,userAverageFirstPronounsCount,0.0333882244943,0.00523280894291
after,userAverageFirstPronounsToWordRatio,0.015388156756,0.198210098471
after,userAverageHatewordsCount,0.0464238742701,0.000102939285185
after,userAverageHatewordsRatio,0.0146709924102,0.219936834084
after,userAverageInsultsCount,0.0657381404281,3.74940490786e-08
after,userAverageInsultsRatio,0.0269624093021,0.0241511848826
after,userAverageLikeCount,0.0719665823359,1.69233030805e-09
after,userAverageNegativeCoefficient,0.018744294051,0.117036804279
after,userAverageNeutralCoefficient,-0.00684987785916,0.566834567368
after,userAveragePositiveCoefficient,-0.018744294051,0.117036804279
after,userAverageProfanityWindow2,0.0118083865796,0.323483684527
after,userAverageProfanityWindow3,0.0255750938089,0.0324629566231
after,userAverageProfanityWindow4,-0.00113309672763,0.924523448149
after,userAverageProfanityWindow5,0.00443903785392,0.710528584478
after,userAveragePunctuationRatio,-0.0259457206594,0.0300321248695
after,userAverageSecondPronounsCount,0.0390364672198,0.00109443743813
after,userAverageSecondPronounsToWordRatio,0.0123815085637,0.300553186982
after,userAverageTextDisplayLength,0.0451303952472,0.000159853570331
after,userAverageTextDisplayProcessedLength,0.0425539553434,0.000371540465168
after,userAverageTextDisplayProcessedWordsCount,0.0418635200873,0.000462280961967
after,userAverageTextDisplayWordsCount,0.0453351212143,0.000149208275648
after,userNumberOfComments,0.104390020955,2.09815106173e-18
after,userNumberOfContent,0.0797205718749,2.45550269126e-11
after,userNumberOfReplies,0.0570989613393,1.77137943476e-06
after,diffBadWordsCount,-0.0141605152661,0.236409557593
after,diffBadWordsRatio,-0.00176485421604,0.882691459744
after,diffCapitalLetterRatio,-0.016362502596,0.171265911007
after,diffCapitalWordRatio,-0.0114895922881,0.336719406511
after,diffEmoticonCount,-0.027268127374,0.0225904609372
after,diffEmoticonToWordRatio,0.0013261238471,0.911714506068
after,diffFirstPronounsCount,-0.0715667338743,2.08143008293e-09
after,diffFirstPronounsToWordRatio,-0.0855279439398,7.83258872222e-13
after,diffHatewordsCount,-0.0471913090552,7.88635931016e-05
after,diffHatewordsRatio,0.00443263262668,0.710927486592
after,diffInsultsCount,0.00817143110647,0.494468907017
after,diffInsultsRatio,0.00366356504085,0.759369534183
after,diffLikeCount,0.174769252576,4.40318981227e-49
after,diffNegativeCoefficient,0.0472644427993,7.68707064428e-05
after,diffNeutralCoefficient,0.114232542639,9.49324771996e-22
after,diffPositiveCoefficient,-0.0472644427993,7.68707064428e-05
after,diffProfanityWindow2,-0.0200299583307,0.0939622912352
after,diffProfanityWindow3,5.0910230247e-18,1.0
after,diffProfanityWindow4,-0.00195081866318,0.870434532699
after,diffProfanityWindow5,-0.0219948281354,0.0658868511054
after,diffPunctuationRatio,-0.0901598409853,4.23453534107e-14
after,diffSecondPronounsCount,-0.0868334282908,3.4947188859e-13
after,diffSecondPronounsToWordRatio,-0.105861715556,6.93302277343e-19
after,diffTextDisplayLength,-0.0356468010752,0.002869821533
after,diffTextDisplayProcessedLength,-0.0345595545695,0.00384800388031
after,diffTextDisplayProcessedWordsCount,-0.0330786185543,0.00566730250217
after,diffTextDisplayWordsCount,-0.0344393006916,0.00397300599276
after,readabilityScore,0.0209953413251,0.0791571764249
after,diversityScore,0.0556485127129,3.21885863476e-06
averageBadWordsCount,averageBadWordsRatio,0.771946665421,0.0
averageBadWordsCount,averageCapitalLetterRatio,-0.0613582132558,2.82218782399e-07
averageBadWordsCount,averageCapitalWordRatio,-0.040805528157,0.000642190644112
averageBadWordsCount,averageEmoticonCount,0.0202480031088,0.0904377467703
averageBadWordsCount,averageEmoticonToWordRatio,-0.0452725020705,0.000152391335595
averageBadWordsCount,averageFirstPronounsCount,0.244791312468,6.06728956121e-96
averageBadWordsCount,averageFirstPronounsToWordRatio,-0.0156111778007,0.191784661853
averageBadWordsCount,averageHatewordsCount,0.810675195905,0.0
averageBadWordsCount,averageHatewordsRatio,0.703905296465,0.0
averageBadWordsCount,averageInsultsCount,0.811797965437,0.0
averageBadWordsCount,averageInsultsRatio,0.728716577541,0.0
averageBadWordsCount,averageLikeCount,0.00228681327312,0.848369764261
averageBadWordsCount,averageNegativeCoefficient,0.10573398508,7.63709447544e-19
averageBadWordsCount,averageNeutralCoefficient,-0.050974524907,2.0015998297e-05
averageBadWordsCount,averagePositiveCoefficient,-0.10573398508,7.63709447544e-19
averageBadWordsCount,averageProfanityWindow2,0.110105263168,2.60953284657e-20
averageBadWordsCount,averageProfanityWindow3,0.165211363309,5.5956908624e-44
averageBadWordsCount,averageProfanityWindow4,0.207801235136,4.47315808404e-69
averageBadWordsCount,averageProfanityWindow5,0.0768552980738,1.23205149655e-10
averageBadWordsCount,averagePunctuationRatio,-0.0443175545763,0.000209582413483
averageBadWordsCount,averageSecondPronounsCount,0.280595892864,1.09314728226e-126
averageBadWordsCount,averageSecondPronounsToWordRatio,0.00688003662969,0.565128158237
averageBadWordsCount,averageTextDisplayLength,0.498856471131,0.0
averageBadWordsCount,averageTextDisplayProcessedLength,0.510604647414,0.0
averageBadWordsCount,averageTextDisplayProcessedWordsCount,0.492059676578,0.0
averageBadWordsCount,averageTextDisplayWordsCount,0.470528590991,0.0
averageBadWordsCount,badWordsCount,0.687293446884,0.0
averageBadWordsCount,badWordsRatio,0.381138705322,1.29458776724e-240
averageBadWordsCount,before,0.0513187705644,1.75837922792e-05
averageBadWordsCount,capitalLetterRatio,-0.041668866732,0.000491374776237
averageBadWordsCount,capitalWordRatio,-0.0282831729296,0.0180200021651
averageBadWordsCount,emoticonCount,0.0147902706536,0.216209441173
averageBadWordsCount,emoticonToWordRatio,-0.0324343122931,0.00667735821522
averageBadWordsCount,firstPronounsCount,0.155400983436,4.73224121486e-39
averageBadWordsCount,firstPronounsToWordRatio,-0.0102646412419,0.390759315683
averageBadWordsCount,hatewordsCount,0.548141727501,0.0
averageBadWordsCount,hatewordsRatio,0.346639086664,1.27286852441e-196
averageBadWordsCount,insultsCount,0.573683361658,0.0
averageBadWordsCount,insultsRatio,0.356039407139,4.50033698183e-208
averageBadWordsCount,isComment,-0.023389090157,0.0504874366337
averageBadWordsCount,likeCount,0.00143686289531,0.904376180439
averageBadWordsCount,negativeCoefficient,0.0626960985163,1.54483858226e-07
averageBadWordsCount,neutralCoefficient,-0.0301489726345,0.0116920496467
averageBadWordsCount,positiveCoefficient,-0.0626960985163,1.54483858226e-07
averageBadWordsCount,profanityWindow2,0.0560373900724,2.7464217713e-06
averageBadWordsCount,profanityWindow3,0.0884985589166,1.22689878344e-13
averageBadWordsCount,profanityWindow4,0.102930467396,6.19657330934e-18
averageBadWordsCount,profanityWindow5,0.042593313188,0.000366906167988
averageBadWordsCount,punctuationRatio,-0.0282151527099,0.0182987746849
averageBadWordsCount,secondPronounsCount,0.184069816425,2.43425849482e-54
averageBadWordsCount,secondPronounsToWordRatio,0.00507716618212,0.671200775227
averageBadWordsCount,sentimentLabel,-0.0364773061916,0.00228191485603
averageBadWordsCount,textDisplayLength,0.353149285258,1.64361359265e-204
averageBadWordsCount,textDisplayProcessedLength,0.365306864814,9.45765680346e-220
averageBadWordsCount,textDisplayProcessedWordsCount,0.350601557328,2.11561768745e-201
averageBadWordsCount,textDisplayWordsCount,0.331294274804,9.29004966823e-179
averageBadWordsCount,totalReplyCount,0.0693593447992,6.39551682133e-09
averageBadWordsCount,userAverageBadWordsCount,0.439906460405,0.0
averageBadWordsCount,userAverageBadWordsRatio,0.296579923965,5.44490330417e-142
averageBadWordsCount,userAverageCapitalLetterRatio,-0.0485345771994,4.90033072994e-05
averageBadWordsCount,userAverageCapitalWordRatio,-0.0282924048967,0.0179824541774
averageBadWordsCount,userAverageEmoticonCount,0.0110403979638,0.355951403292
averageBadWordsCount,userAverageEmoticonToWordRatio,-0.0260119567523,0.0296145941445
averageBadWordsCount,userAverageFirstPronounsCount,0.13848290948,2.75059343413e-31
averageBadWordsCount,userAverageFirstPronounsToWordRatio,0.00298188571255,0.803118163151
averageBadWordsCount,userAverageHatewordsCount,0.357260831468,1.36897175968e-209
averageBadWordsCount,userAverageHatewordsRatio,0.258708040763,2.52002438977e-107
averageBadWordsCount,userAverageInsultsCount,0.344476014512,4.837923274e-194
averageBadWordsCount,userAverageInsultsRatio,0.293022775628,1.69096514635e-138
averageBadWordsCount,userAverageLikeCount,0.00566883986574,0.635520564936
averageBadWordsCount,userAverageNegativeCoefficient,0.0740788339559,5.56808611655e-10
averageBadWordsCount,userAverageNeutralCoefficient,-0.0483304182197,5.27196776047e-05
averageBadWordsCount,userAveragePositiveCoefficient,-0.0740788339559,5.56808611655e-10
averageBadWordsCount,userAverageProfanityWindow2,0.0629657979126,1.36609709338e-07
averageBadWordsCount,userAverageProfanityWindow3,0.0736926612301,6.83872327487e-10
averageBadWordsCount,userAverageProfanityWindow4,0.0851773098087,9.70860412136e-13
averageBadWordsCount,userAverageProfanityWindow5,0.042642899592,0.000361144393385
averageBadWordsCount,userAveragePunctuationRatio,-0.0389553218262,0.00112097505656
averageBadWordsCount,userAverageSecondPronounsCount,0.164968344785,7.47669220653e-44
averageBadWordsCount,userAverageSecondPronounsToWordRatio,0.00238682310532,0.84182418292
averageBadWordsCount,userAverageTextDisplayLength,0.259913921839,2.40741972276e-108
averageBadWordsCount,userAverageTextDisplayProcessedLength,0.26868565569,6.30201792306e-116
averageBadWordsCount,userAverageTextDisplayProcessedWordsCount,0.262213069482,2.64291686571e-110
averageBadWordsCount,userAverageTextDisplayWordsCount,0.247691978231,2.94644637925e-98
averageBadWordsCount,userNumberOfComments,-0.00450121004166,0.706660783916
averageBadWordsCount,userNumberOfContent,-0.0159034516697,0.183597648962
averageBadWordsCount,userNumberOfReplies,-0.0183561584979,0.12481497269
averageBadWordsCount,diffBadWordsCount,0.0022744535394,0.849179437084
averageBadWordsCount,diffBadWordsRatio,0.00112580053693,0.925008015739
averageBadWordsCount,diffCapitalLetterRatio,0.000193499915993,0.987092087218
averageBadWordsCount,diffCapitalWordRatio,-0.000933907278518,0.937761817616
averageBadWordsCount,diffEmoticonCount,0.00241996099635,0.8396577136
averageBadWordsCount,diffEmoticonToWordRatio,-0.00121797180654,0.918888677172
averageBadWordsCount,diffFirstPronounsCount,-0.00163641364184,0.891173593425
averageBadWordsCount,diffFirstPronounsToWordRatio,-0.0010083660559,0.932810986778
averageBadWordsCount,diffHatewordsCount,0.000573966264801,0.961725112849
averageBadWordsCount,diffHatewordsRatio,0.000334707801022,0.977674389362
averageBadWordsCount,diffInsultsCount,0.00134778538156,0.910278452526
averageBadWordsCount,diffInsultsRatio,0.000189252838078,0.987375375661
